cell_type,marker,importance
pulmonary alveolar type 1 cell,MT1M,67.75768351
pulmonary alveolar type 1 cell,SLC39A13,67.65066468
pulmonary alveolar type 1 cell,NBEAL2,67.64330014
pulmonary alveolar type 1 cell,RAB6A,67.62789189
pulmonary alveolar type 1 cell,PTPRF,67.61394916
pulmonary alveolar type 1 cell,APTR,67.49562411
pulmonary alveolar type 1 cell,LAMC1,67.42592573
pulmonary alveolar type 1 cell,RNA45S5,67.35443652
pulmonary alveolar type 1 cell,HDAC7,67.17114741
pulmonary alveolar type 1 cell,HLA-E,67.03625159
pulmonary alveolar type 1 cell,DDX5,66.84918386
pulmonary alveolar type 1 cell,EZR,66.63045771
pulmonary alveolar type 1 cell,LOC100996255,66.38682603
pulmonary alveolar type 1 cell,BSDC1,66.31457279
pulmonary alveolar type 1 cell,TCEA3,66.16020683
pulmonary alveolar type 1 cell,CLIP4,66.02110764
pulmonary alveolar type 1 cell,PKDCC,66.01613648
pulmonary alveolar type 1 cell,TRA2A,65.96268827
pulmonary alveolar type 1 cell,JOSD1,65.91967967
pulmonary alveolar type 1 cell,LTBR,65.86852615
pulmonary alveolar type 1 cell,PPA1,65.85260317
pulmonary alveolar type 1 cell,FAM127A,65.80776871
pulmonary alveolar type 1 cell,IGSF8,65.72481322
pulmonary alveolar type 1 cell,IL10RB,65.70403728
pulmonary alveolar type 1 cell,TMEM245,65.70173485
pulmonary alveolar type 1 cell,KPNA3,65.64400961
pulmonary alveolar type 1 cell,GRAMD2,65.58423095
pulmonary alveolar type 1 cell,ABTB1,65.41244542
pulmonary alveolar type 1 cell,CTDSP2,65.37807672
pulmonary alveolar type 1 cell,CORO1C,65.16948404
pulmonary alveolar type 1 cell,KLC1,64.966465
pulmonary alveolar type 1 cell,MAP1LC3A,64.95290977
pulmonary alveolar type 1 cell,SLC6A4,64.9515226
pulmonary alveolar type 1 cell,PRKCDBP,64.94352159
pulmonary alveolar type 1 cell,RAB5B,64.7989739
pulmonary alveolar type 1 cell,TMEM115,64.70638231
pulmonary alveolar type 1 cell,NXN,64.56646493
pulmonary alveolar type 1 cell,MGST3,64.37204865
pulmonary alveolar type 1 cell,MGAT3,64.18263819
pulmonary alveolar type 1 cell,BNIP3,63.97540023
pulmonary alveolar type 1 cell,DIRC2,63.76165744
pulmonary alveolar type 1 cell,HIRIP3,63.59458231
pulmonary alveolar type 1 cell,NAV2,63.25906859
pulmonary alveolar type 1 cell,IFNGR1,63.17430066
pulmonary alveolar type 1 cell,ANKRD37,63.10846228
pulmonary alveolar type 1 cell,TANC1,62.90182349
pulmonary alveolar type 1 cell,TLN1,62.89221639
pulmonary alveolar type 1 cell,SUSD6,62.86991068
pulmonary alveolar type 1 cell,WSB1,62.80065142
pulmonary alveolar type 1 cell,SH3RF1,62.65373878
pulmonary alveolar type 1 cell,HYAL1,62.50756265
pulmonary alveolar type 1 cell,RAB24,62.32239776
pulmonary alveolar type 1 cell,ZBTB20,62.31128606
pulmonary alveolar type 1 cell,CD40,62.29202603
pulmonary alveolar type 1 cell,ZDHHC20,62.22870311
pulmonary alveolar type 1 cell,SULT1A2,62.19529333
pulmonary alveolar type 1 cell,TMBIM6,62.16427131
pulmonary alveolar type 1 cell,RSRP1,62.11847783
pulmonary alveolar type 1 cell,SHTN1,62.06326697
pulmonary alveolar type 1 cell,CLDN4,62.01226841
pulmonary alveolar type 1 cell,OFD1,62.00167134
pulmonary alveolar type 1 cell,APOL6,61.93976809
pulmonary alveolar type 1 cell,ATP6V0C,61.77553257
pulmonary alveolar type 1 cell,CHCHD6,61.57893677
pulmonary alveolar type 1 cell,LARP4B,61.5353286
pulmonary alveolar type 1 cell,PNRC1,61.52375788
pulmonary alveolar type 1 cell,SLC35A1,61.35083498
pulmonary alveolar type 1 cell,ZDHHC9,61.29684676
pulmonary alveolar type 1 cell,LIMS2,61.28408537
pulmonary alveolar type 1 cell,C10orf67,61.28150448
pulmonary alveolar type 1 cell,MICAL2,61.10945514
pulmonary alveolar type 1 cell,NBN,61.05454001
pulmonary alveolar type 1 cell,FKBP9,61.03882193
pulmonary alveolar type 1 cell,C5orf15,60.98579339
pulmonary alveolar type 1 cell,LRRC1,60.95438377
pulmonary alveolar type 1 cell,STXBP6,60.77552499
pulmonary alveolar type 1 cell,IFI27L1,60.7724509
pulmonary alveolar type 1 cell,PPP3CA,60.71494101
pulmonary alveolar type 1 cell,SDC2,60.64464392
pulmonary alveolar type 1 cell,KLF7,60.5868462
pulmonary alveolar type 1 cell,TNKS1BP1,60.3891867
pulmonary alveolar type 1 cell,CRIP1,60.38545194
pulmonary alveolar type 1 cell,ATP1A1,60.33093877
pulmonary alveolar type 1 cell,CDS2,60.28924192
pulmonary alveolar type 1 cell,CNPPD1,60.2687727
pulmonary alveolar type 1 cell,INSIG2,60.23329667
pulmonary alveolar type 1 cell,PRR5L,60.22004811
pulmonary alveolar type 1 cell,PARP12,60.1625669
pulmonary alveolar type 1 cell,WNT7A,60.06744609
pulmonary alveolar type 1 cell,ITPKC,59.88262558
pulmonary alveolar type 1 cell,DAG1,59.77118523
pulmonary alveolar type 1 cell,CLN8,59.74959235
pulmonary alveolar type 1 cell,FOXA2,59.72899688
pulmonary alveolar type 1 cell,SNX18,59.65955551
pulmonary alveolar type 1 cell,RASSF8,59.45945035
pulmonary alveolar type 1 cell,ABCA8,59.2112191
pulmonary alveolar type 1 cell,BTG2,59.20266755
pulmonary alveolar type 1 cell,B4GALT1,59.11934588
pulmonary alveolar type 1 cell,ATP6V1H,58.78771572
pulmonary alveolar type 1 cell,WBP4,58.69350192
pulmonary alveolar type 1 cell,IFNAR2,58.5203785
pulmonary alveolar type 1 cell,ITSN2,58.51503238
pulmonary alveolar type 1 cell,TJP2,58.50885991
pulmonary alveolar type 1 cell,KLK7,58.50105882
pulmonary alveolar type 1 cell,RORA,58.45831371
pulmonary alveolar type 1 cell,LIMS1,58.44881896
pulmonary alveolar type 1 cell,STK17B,58.37924907
pulmonary alveolar type 1 cell,UBAP1,58.31399794
pulmonary alveolar type 1 cell,ARL13B,58.30048246
pulmonary alveolar type 1 cell,TP53BP2,58.14676606
pulmonary alveolar type 1 cell,NDN,57.94662101
pulmonary alveolar type 1 cell,ACOT9,57.81726714
pulmonary alveolar type 1 cell,SLC44A3,57.5237747
pulmonary alveolar type 1 cell,NR4A1,57.32659906
pulmonary alveolar type 1 cell,ANKLE2,57.27379781
pulmonary alveolar type 1 cell,BIN1,57.20834212
pulmonary alveolar type 1 cell,VAMP8,57.17555628
pulmonary alveolar type 1 cell,SLCO3A1,57.1051786
pulmonary alveolar type 1 cell,ID1,57.06086411
pulmonary alveolar type 1 cell,PSMB9,56.98210254
pulmonary alveolar type 1 cell,MID1,56.97965009
pulmonary alveolar type 1 cell,CPEB4,56.97648025
pulmonary alveolar type 1 cell,ZBED2,56.92273417
pulmonary alveolar type 1 cell,FOXO3,56.89028012
pulmonary alveolar type 1 cell,PLA2G16,56.83452914
pulmonary alveolar type 1 cell,ANXA11,56.71874644
pulmonary alveolar type 1 cell,CCBE1,56.71053792
pulmonary alveolar type 1 cell,KCTD9,56.64892238
pulmonary alveolar type 1 cell,PAX8-AS1,56.63133842
pulmonary alveolar type 1 cell,MCL1,56.61313145
pulmonary alveolar type 1 cell,SFTA2,56.50188316
pulmonary alveolar type 1 cell,ST6GALNAC2,56.47494108
pulmonary alveolar type 1 cell,SLC7A7,56.44454396
pulmonary alveolar type 1 cell,RBMS2,56.36614664
pulmonary alveolar type 1 cell,SERINC5,56.08549918
pulmonary alveolar type 1 cell,CARD16,55.97202943
pulmonary alveolar type 1 cell,LRRC16A,55.87372051
pulmonary alveolar type 1 cell,PPL,55.85111445
pulmonary alveolar type 1 cell,PER1,55.7093602
pulmonary alveolar type 1 cell,ZC3HAV1,55.67029289
pulmonary alveolar type 1 cell,TGIF1,55.62611485
pulmonary alveolar type 1 cell,HMHA1,55.59949315
pulmonary alveolar type 1 cell,DUSP7,55.54574991
pulmonary alveolar type 1 cell,PXDC1,55.35182665
pulmonary alveolar type 1 cell,PEAK1,55.33484298
pulmonary alveolar type 1 cell,MPP5,55.31710201
pulmonary alveolar type 1 cell,EDEM1,55.28954708
pulmonary alveolar type 1 cell,TUBA1B,55.008081
pulmonary alveolar type 1 cell,MAPK3,54.89258702
pulmonary alveolar type 1 cell,IRF9,54.77704271
pulmonary alveolar type 1 cell,LNX2,54.72074605
pulmonary alveolar type 1 cell,ZFYVE9,54.69077385
pulmonary alveolar type 1 cell,LRP5,54.68444789
pulmonary alveolar type 1 cell,TMEM246,54.58182141
pulmonary alveolar type 1 cell,ATXN2,54.48569806
pulmonary alveolar type 1 cell,ARHGAP24,54.30759905
pulmonary alveolar type 1 cell,EFR3B,54.25600347
pulmonary alveolar type 1 cell,SERTAD1,54.15693122
pulmonary alveolar type 1 cell,CCND1,53.95311403
pulmonary alveolar type 1 cell,MLLT4,53.88019778
pulmonary alveolar type 1 cell,LTBP4,53.82109214
pulmonary alveolar type 1 cell,FLNB,53.81732518
pulmonary alveolar type 1 cell,TMEM41B,53.79295259
pulmonary alveolar type 1 cell,CFL1,53.7012792
pulmonary alveolar type 1 cell,RNF128,53.66242668
pulmonary alveolar type 1 cell,MICA,53.59801796
pulmonary alveolar type 1 cell,LMTK2,53.50012104
pulmonary alveolar type 1 cell,IDS,53.3879957
pulmonary alveolar type 1 cell,MYH14,53.31173517
pulmonary alveolar type 1 cell,ITGA2,53.30956463
pulmonary alveolar type 1 cell,WNT3A,53.05910021
pulmonary alveolar type 1 cell,PTPN21,53.0430865
pulmonary alveolar type 1 cell,MEGF9,53.04098614
pulmonary alveolar type 1 cell,IFRD1,52.98057822
pulmonary alveolar type 1 cell,MPPE1,52.94714896
pulmonary alveolar type 1 cell,ID2,52.90324254
pulmonary alveolar type 1 cell,AKAP11,52.88169191
pulmonary alveolar type 1 cell,HACD1,52.77945543
pulmonary alveolar type 1 cell,PTGS2,52.77898981
pulmonary alveolar type 1 cell,USP54,52.47020921
pulmonary alveolar type 1 cell,FAM109A,52.20474437
pulmonary alveolar type 1 cell,APOL1,52.1634038
pulmonary alveolar type 1 cell,FAM73A,52.05896577
pulmonary alveolar type 1 cell,ADGRF5,51.82880709
pulmonary alveolar type 1 cell,SPRED1,51.79122244
pulmonary alveolar type 1 cell,NUMB,51.53052977
pulmonary alveolar type 1 cell,SNX21,51.51488424
pulmonary alveolar type 1 cell,TRIP10,51.32776626
pulmonary alveolar type 1 cell,TSC22D2,51.32323139
pulmonary alveolar type 1 cell,ZC3H7A,51.25231969
pulmonary alveolar type 1 cell,EMP1,51.16103839
pulmonary alveolar type 1 cell,ITPR3,51.15836778
pulmonary alveolar type 1 cell,DDIT3,51.12884396
pulmonary alveolar type 1 cell,ADAM10,51.09929495
pulmonary alveolar type 1 cell,TSPAN7,50.99361325
pulmonary alveolar type 1 cell,RASSF1,50.87989569
pulmonary alveolar type 1 cell,CRY2,50.81613006
pulmonary alveolar type 1 cell,KLF2,50.73126531
pulmonary alveolar type 1 cell,KIFC3,50.65238418
pulmonary alveolar type 1 cell,SGMS2,50.51583378
pulmonary alveolar type 1 cell,TMEM2,50.48057758
pulmonary alveolar type 1 cell,DHCR24,50.47752287
pulmonary alveolar type 1 cell,TEAD1,50.46893458
pulmonary alveolar type 1 cell,CD63,50.37489179
pulmonary alveolar type 1 cell,ARL4C,50.30589045
pulmonary alveolar type 1 cell,KDM6B,50.10732083
pulmonary alveolar type 1 cell,SGK223,50.03626303
pulmonary alveolar type 1 cell,CBR1,49.97624014
pulmonary alveolar type 1 cell,B3GNT7,49.93500352
pulmonary alveolar type 1 cell,PROS1,49.82369275
pulmonary alveolar type 1 cell,GRB7,49.80550385
pulmonary alveolar type 1 cell,GS1-124K5.11,49.79196236
pulmonary alveolar type 1 cell,MMP14,49.36532528
pulmonary alveolar type 1 cell,COBL,49.3298248
pulmonary alveolar type 1 cell,SCAI,49.27791815
pulmonary alveolar type 1 cell,TRIM47,49.26823359
pulmonary alveolar type 1 cell,ACKR4,48.93409148
pulmonary alveolar type 1 cell,SCAPER,48.84828623
pulmonary alveolar type 1 cell,ACSF2,48.49685446
pulmonary alveolar type 1 cell,AGTPBP1,48.43464966
pulmonary alveolar type 1 cell,SAMD4A,48.15759414
pulmonary alveolar type 1 cell,POLR2L,48.13587427
pulmonary alveolar type 1 cell,FKBP1B,48.08465765
pulmonary alveolar type 1 cell,EYA4,47.94814826
pulmonary alveolar type 1 cell,GSE1,47.71501876
pulmonary alveolar type 1 cell,SMURF1,47.64762406
pulmonary alveolar type 1 cell,FGD4,47.44624618
pulmonary alveolar type 1 cell,TOM1L2,47.26668407
pulmonary alveolar type 1 cell,ANKRD9,47.25847218
pulmonary alveolar type 1 cell,ARID4A,47.2328483
pulmonary alveolar type 1 cell,ANKRD1,47.15684882
pulmonary alveolar type 1 cell,MISP,46.90094533
pulmonary alveolar type 1 cell,ANGPTL2,46.83825742
pulmonary alveolar type 1 cell,RETSAT,46.74469872
pulmonary alveolar type 1 cell,SLC16A5,46.73072537
pulmonary alveolar type 1 cell,STOM,46.67242649
pulmonary alveolar type 1 cell,PTPN14,46.51695351
pulmonary alveolar type 1 cell,NHSL1,46.43685899
pulmonary alveolar type 1 cell,B4GAT1,46.40417333
pulmonary alveolar type 1 cell,LGALS3,46.3573116
pulmonary alveolar type 1 cell,APC,46.27357844
pulmonary alveolar type 1 cell,SEMA6D,46.26968559
pulmonary alveolar type 1 cell,DUSP8,46.15939913
pulmonary alveolar type 1 cell,LOC643441,46.15868108
pulmonary alveolar type 1 cell,ATXN1,46.14801666
pulmonary alveolar type 1 cell,TMEM59,46.07051688
pulmonary alveolar type 1 cell,GSTM3,45.83803667
pulmonary alveolar type 1 cell,LURAP1L,45.81802652
pulmonary alveolar type 1 cell,ZFP36,45.67637571
pulmonary alveolar type 1 cell,APBB2,45.61516048
pulmonary alveolar type 1 cell,ACTN1,45.50688821
pulmonary alveolar type 1 cell,GLCCI1,45.33520285
pulmonary alveolar type 1 cell,NRBP2,44.9393744
pulmonary alveolar type 1 cell,FZD5,44.90224264
pulmonary alveolar type 1 cell,CNTN6,44.87090941
pulmonary alveolar type 1 cell,TTC7A,44.7826883
pulmonary alveolar type 1 cell,WASF3,44.61884672
pulmonary alveolar type 1 cell,AATK,44.56066932
pulmonary alveolar type 1 cell,MBIP,44.53847771
pulmonary alveolar type 1 cell,LOC100131564,44.50570799
pulmonary alveolar type 1 cell,TRIB1,44.47544853
pulmonary alveolar type 1 cell,EVPL,44.37609609
pulmonary alveolar type 1 cell,SNX22,44.16147236
pulmonary alveolar type 1 cell,PMP22,44.14735727
pulmonary alveolar type 1 cell,INPP5K,43.84148998
pulmonary alveolar type 1 cell,DGKD,43.78885015
pulmonary alveolar type 1 cell,ADRB1,43.54126744
pulmonary alveolar type 1 cell,BST2,43.37192812
pulmonary alveolar type 1 cell,EPB41L3,43.24865744
pulmonary alveolar type 1 cell,KCNQ1OT1,43.0878085
pulmonary alveolar type 1 cell,RASAL2,42.99297845
pulmonary alveolar type 1 cell,TSC22D3,42.98152846
pulmonary alveolar type 1 cell,ATP10A,42.97968382
pulmonary alveolar type 1 cell,LOC643733,42.95630695
pulmonary alveolar type 1 cell,APBB1,42.60872138
pulmonary alveolar type 1 cell,CCL2,42.50618673
pulmonary alveolar type 1 cell,TPPP,42.02829337
pulmonary alveolar type 1 cell,ARHGEF2,41.96881514
pulmonary alveolar type 1 cell,LINC-PINT,41.64926012
pulmonary alveolar type 1 cell,NGF,41.53431446
pulmonary alveolar type 1 cell,GBP1,41.48067111
pulmonary alveolar type 1 cell,RCOR1,41.27575008
pulmonary alveolar type 1 cell,XPO4,41.15907487
pulmonary alveolar type 1 cell,AKAP9,41.00055742
pulmonary alveolar type 1 cell,MYO9A,40.85326906
pulmonary alveolar type 1 cell,RICTOR,40.52236719
pulmonary alveolar type 1 cell,NUPR1,40.50132545
pulmonary alveolar type 1 cell,SMAD7,40.46978538
pulmonary alveolar type 1 cell,LATS2,40.35631111
pulmonary alveolar type 1 cell,AQP1,40.17732824
pulmonary alveolar type 1 cell,RAPGEF2,39.89463447
pulmonary alveolar type 1 cell,ZNF704,39.64828997
pulmonary alveolar type 1 cell,RIMKLA,39.57092665
pulmonary alveolar type 1 cell,ZFP36L1,39.43393824
pulmonary alveolar type 1 cell,UPP1,39.19099073
pulmonary alveolar type 1 cell,DOT1L,39.18639876
pulmonary alveolar type 1 cell,METRNL,38.90717532
pulmonary alveolar type 1 cell,PLAC8,38.75142963
pulmonary alveolar type 1 cell,UBE2Q2P1,38.5970824
pulmonary alveolar type 1 cell,ICAM4,38.53694579
pulmonary alveolar type 1 cell,AMOTL1,38.44723474
pulmonary alveolar type 1 cell,UNC13B,38.24808791
pulmonary alveolar type 1 cell,NINJ2,38.05336599
pulmonary alveolar type 1 cell,HIP1,37.7414943
pulmonary alveolar type 1 cell,IGSF3,37.54277711
pulmonary alveolar type 1 cell,HLA-G,37.50548187
pulmonary alveolar type 1 cell,RARRES3,37.42309446
pulmonary alveolar type 1 cell,SELENBP1,37.2827328
pulmonary alveolar type 1 cell,RIPK2,36.90242982
pulmonary alveolar type 1 cell,ISG15,36.83455496
pulmonary alveolar type 1 cell,SCNN1G,36.42287079
pulmonary alveolar type 1 cell,PDZD2,36.32897615
pulmonary alveolar type 1 cell,SLC16A4,36.02154573
pulmonary alveolar type 1 cell,ZC2HC1A,35.78280217
pulmonary alveolar type 1 cell,KHDRBS2,35.71320442
pulmonary alveolar type 1 cell,PLAUR,35.69010494
pulmonary alveolar type 1 cell,MVB12B,35.66932966
pulmonary alveolar type 1 cell,LY6E,35.64350332
pulmonary alveolar type 1 cell,ITPRIP,35.64246999
pulmonary alveolar type 1 cell,ZFAND2A,35.37143894
pulmonary alveolar type 1 cell,C15orf52,35.29581624
pulmonary alveolar type 1 cell,GLIS2,35.20398546
pulmonary alveolar type 1 cell,C14orf132,35.19707594
pulmonary alveolar type 1 cell,ZNF431,34.46015877
pulmonary alveolar type 1 cell,DOCK11,34.33372624
pulmonary alveolar type 1 cell,B3GNT8,33.89072055
pulmonary alveolar type 1 cell,GATA6-AS1,33.7684617
pulmonary alveolar type 1 cell,PLCE1,33.60994089
pulmonary alveolar type 1 cell,PEG10,33.51570565
pulmonary alveolar type 1 cell,NCOA7,33.46465132
pulmonary alveolar type 1 cell,CDKN1A,33.43700858
pulmonary alveolar type 1 cell,IFIT1,32.82652413
pulmonary alveolar type 1 cell,REPS2,32.74819616
pulmonary alveolar type 1 cell,HLA-B,32.31183757
pulmonary alveolar type 1 cell,TTLL7,32.19132793
pulmonary alveolar type 1 cell,SHROOM3,32.14439168
pulmonary alveolar type 1 cell,P3H2,30.97809431
pulmonary alveolar type 1 cell,ABI3BP,30.62521399
pulmonary alveolar type 1 cell,IFIT3,30.2459478
pulmonary alveolar type 1 cell,DAPK1,29.88604557
pulmonary alveolar type 1 cell,KLK11,29.20540261
pulmonary alveolar type 1 cell,SMAD9,28.5260852
pulmonary alveolar type 1 cell,DNAJB4,28.51639877
pulmonary alveolar type 1 cell,VEPH1,28.26827799
pulmonary alveolar type 1 cell,CYP2B7P,28.17998583
pulmonary alveolar type 1 cell,NEAT1,28.14967413
pulmonary alveolar type 1 cell,TMEM47,27.96784182
pulmonary alveolar type 1 cell,GAB1,27.89039169
pulmonary alveolar type 1 cell,IFT57,27.84647677
pulmonary alveolar type 1 cell,PIM1,27.80073537
pulmonary alveolar type 1 cell,CTSE,27.51885546
pulmonary alveolar type 1 cell,IGFBP7,26.64318019
pulmonary alveolar type 1 cell,HSP90AB1,25.89193032
pulmonary alveolar type 1 cell,KCNN3,25.85242804
pulmonary alveolar type 1 cell,SFTA3,25.56639614
pulmonary alveolar type 1 cell,HLA-A,24.37702035
pulmonary alveolar type 1 cell,NFKBIA,24.17843631
pulmonary alveolar type 1 cell,IFI6,23.85527105
pulmonary alveolar type 1 cell,KLK10,22.31042638
pulmonary alveolar type 1 cell,ALDH3B1,21.80374043
pulmonary alveolar type 1 cell,FOS,20.42042658
pulmonary alveolar type 1 cell,PALM3,20.14213764
pulmonary alveolar type 1 cell,KRT16P1,17.60728496
pulmonary alveolar type 1 cell,PDLIM3,14.6033809
pulmonary alveolar type 1 cell,JUN,12.8084365
pulmonary alveolar type 1 cell,RGS16,11.34983401
pulmonary alveolar type 2 cell,SFTPC,Inf
pulmonary alveolar type 2 cell,NPC2,Inf
pulmonary alveolar type 2 cell,SFTPA1,Inf
pulmonary alveolar type 2 cell,NAPSA,Inf
pulmonary alveolar type 2 cell,SFTPA2,285.2177834
pulmonary alveolar type 2 cell,CTSH,276.9440693
pulmonary alveolar type 2 cell,PGC,276.4225815
pulmonary alveolar type 2 cell,SFTPD,261.6162653
pulmonary alveolar type 2 cell,LAMP3,245.9595888
pulmonary alveolar type 2 cell,ABCA3,219.2786081
pulmonary alveolar type 2 cell,CHI3L2,216.2256062
pulmonary alveolar type 2 cell,CA2,214.7536778
pulmonary alveolar type 2 cell,DBI,212.3494605
pulmonary alveolar type 2 cell,SERPINA1,205.2250594
pulmonary alveolar type 2 cell,WIF1,198.9853751
pulmonary alveolar type 2 cell,LRRK2,196.2176764
pulmonary alveolar type 2 cell,C11orf96,196.1400033
pulmonary alveolar type 2 cell,NRGN,194.762538
pulmonary alveolar type 2 cell,SFTA2,188.8292554
pulmonary alveolar type 2 cell,PLA2G1B,184.4083227
pulmonary alveolar type 2 cell,HHIP,183.6094126
pulmonary alveolar type 2 cell,PEBP4,183.0217504
pulmonary alveolar type 2 cell,CPB2,178.4183775
pulmonary alveolar type 2 cell,NNMT,174.4656931
pulmonary alveolar type 2 cell,MFSD2A,173.2545005
pulmonary alveolar type 2 cell,SFTPB,172.0100812
pulmonary alveolar type 2 cell,HLA-DPB1,163.8852219
pulmonary alveolar type 2 cell,CHIAP2,161.2424079
pulmonary alveolar type 2 cell,CRTAC1,160.548079
pulmonary alveolar type 2 cell,C2,156.4737268
pulmonary alveolar type 2 cell,MALL,147.1708071
pulmonary alveolar type 2 cell,MID1IP1,146.5185663
pulmonary alveolar type 2 cell,SLC22A31,144.4512562
pulmonary alveolar type 2 cell,FTL,143.4383907
pulmonary alveolar type 2 cell,P3H2,141.69393
pulmonary alveolar type 2 cell,HLA-DPA1,139.4057828
pulmonary alveolar type 2 cell,AK1,139.3247598
pulmonary alveolar type 2 cell,LHFPL3-AS2,137.2611753
pulmonary alveolar type 2 cell,C4BPA,134.8126528
pulmonary alveolar type 2 cell,C16orf89,128.6106107
pulmonary alveolar type 2 cell,CACNA2D2,126.5490925
pulmonary alveolar type 2 cell,HLA-DRA,125.6685751
pulmonary alveolar type 2 cell,TMEM243,122.3471348
pulmonary alveolar type 2 cell,DRAM1,118.7673828
pulmonary alveolar type 2 cell,LPCAT1,117.905026
pulmonary alveolar type 2 cell,TMEM163,114.9591183
pulmonary alveolar type 2 cell,CXCL2,114.0770063
pulmonary alveolar type 2 cell,SFTA3,113.0091368
pulmonary alveolar type 2 cell,HHIP-AS1,111.7784279
pulmonary alveolar type 2 cell,CD74,111.5866276
pulmonary alveolar type 2 cell,C8orf4,110.5585333
pulmonary alveolar type 2 cell,ETV5,109.9506034
pulmonary alveolar type 2 cell,SLC34A2,109.3900503
pulmonary alveolar type 2 cell,DMBT1,108.7897372
pulmonary alveolar type 2 cell,FGGY,103.3876036
pulmonary alveolar type 2 cell,HLA-DRB1,102.7894748
pulmonary alveolar type 2 cell,RASGRF1,102.1766792
pulmonary alveolar type 2 cell,NECAB1,101.3725147
pulmonary alveolar type 2 cell,SELENBP1,101.2320003
pulmonary alveolar type 2 cell,SDR16C5,100.1205872
pulmonary alveolar type 2 cell,TFPI,99.65738442
pulmonary alveolar type 2 cell,HOPX,99.54644819
pulmonary alveolar type 2 cell,RND1,99.11542325
pulmonary alveolar type 2 cell,CD36,98.05287553
pulmonary alveolar type 2 cell,FABP5,96.11190999
pulmonary alveolar type 2 cell,MUC1,94.98236758
pulmonary alveolar type 2 cell,RGS16,93.43097879
pulmonary alveolar type 2 cell,ALPL,92.66255735
pulmonary alveolar type 2 cell,ALOX15B,91.76377068
pulmonary alveolar type 2 cell,LRRC36,90.13735499
pulmonary alveolar type 2 cell,KCNJ15,89.99557366
pulmonary alveolar type 2 cell,CSF3R,88.84315841
pulmonary alveolar type 2 cell,SCD,88.68649047
pulmonary alveolar type 2 cell,LGALSL,88.54869079
pulmonary alveolar type 2 cell,LANCL1-AS1,88.02707368
pulmonary alveolar type 2 cell,PPP1R1B,86.92707165
pulmonary alveolar type 2 cell,SLC46A2,86.23881676
pulmonary alveolar type 2 cell,DCXR,85.62550492
pulmonary alveolar type 2 cell,C3,84.85243466
pulmonary alveolar type 2 cell,NFKBIA,84.42056939
pulmonary alveolar type 2 cell,BMP2,83.06104986
pulmonary alveolar type 2 cell,DUSP6,82.96600699
pulmonary alveolar type 2 cell,SLC6A14,82.44469406
pulmonary alveolar type 2 cell,HLA-DRB5,81.64852021
pulmonary alveolar type 2 cell,AREG,79.41863457
pulmonary alveolar type 2 cell,HLA-DRB6,79.18623254
pulmonary alveolar type 2 cell,GKN2,79.10236974
pulmonary alveolar type 2 cell,CAT,78.93876326
pulmonary alveolar type 2 cell,EDNRB,77.8618045
pulmonary alveolar type 2 cell,CEBPD,77.17606714
pulmonary alveolar type 2 cell,KCNJ8,77.12765493
pulmonary alveolar type 2 cell,MSMO1,76.33977575
pulmonary alveolar type 2 cell,KIAA1324L,76.16520243
pulmonary alveolar type 2 cell,SNX30,72.76832476
pulmonary alveolar type 2 cell,ETV1,72.08708255
pulmonary alveolar type 2 cell,PARM1,71.58966099
pulmonary alveolar type 2 cell,ZNF385B,71.19922576
pulmonary alveolar type 2 cell,FASN,68.44103025
pulmonary alveolar type 2 cell,FBP1,67.66994193
pulmonary alveolar type 2 cell,HMOX1,67.15461281
pulmonary alveolar type 2 cell,CITED2,66.39203924
pulmonary alveolar type 2 cell,SEPP1,66.21200519
pulmonary alveolar type 2 cell,LOC100652999,66.07701993
pulmonary alveolar type 2 cell,PLD3,66.07263164
pulmonary alveolar type 2 cell,PMM1,65.91505501
pulmonary alveolar type 2 cell,CDC42EP1,65.10050328
pulmonary alveolar type 2 cell,ODC1,64.8494316
pulmonary alveolar type 2 cell,ORM1,64.81324117
pulmonary alveolar type 2 cell,HLA-DMA,64.41022735
pulmonary alveolar type 2 cell,SPRY4,62.7755951
pulmonary alveolar type 2 cell,SMAGP,62.53844829
pulmonary alveolar type 2 cell,ACADL,61.21866002
pulmonary alveolar type 2 cell,C14orf1,60.62586231
pulmonary alveolar type 2 cell,B3GNT8,60.35015927
pulmonary alveolar type 2 cell,AGPAT2,59.44095738
pulmonary alveolar type 2 cell,ESAM,59.24317318
pulmonary alveolar type 2 cell,ASRGL1,59.08310467
pulmonary alveolar type 2 cell,EPHX1,58.77896464
pulmonary alveolar type 2 cell,LPL,58.02707642
pulmonary alveolar type 2 cell,QDPR,57.9946426
pulmonary alveolar type 2 cell,CISH,57.82269181
pulmonary alveolar type 2 cell,MTRR,57.22478312
pulmonary alveolar type 2 cell,CHI3L1,56.79826044
pulmonary alveolar type 2 cell,LGMN,56.56760674
pulmonary alveolar type 2 cell,CD44,56.42391705
pulmonary alveolar type 2 cell,HLA-DQB1,56.42276462
pulmonary alveolar type 2 cell,S100A14,55.69353107
pulmonary alveolar type 2 cell,MSN,55.43454873
pulmonary alveolar type 2 cell,MLPH,55.30836431
pulmonary alveolar type 2 cell,GADD45B,55.0687246
pulmonary alveolar type 2 cell,MBIP,54.8753453
pulmonary alveolar type 2 cell,SOCS2,54.52789811
pulmonary alveolar type 2 cell,GSTA4,53.21227782
pulmonary alveolar type 2 cell,EP300-AS1,52.97095992
